NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
122	2.105	11.613	1.071	9.64	0.032	0.993	6000.0
123	1.131	6.293	0.61	5.454	0.02	0.998	6000.0
124	2.237	12.344	1.21	11.03	0.04	0.993	6000.0
125	1.558	8.878	0.878	7.674	0.022	0.996	6000.0
126	2.271	12.687	1.32	11.515	0.05	0.993	6000.0
127	1.661	9.605	0.991	8.435	0.027	0.995	6000.0
128	2.591	14.417	1.217	11.595	0.057	0.988	6000.0
129	1.39	7.786	0.734	7.44	0.024	0.996	6000.0
130	1.57	8.634	0.858	7.327	0.028	0.996	6000.0
131	2.31	12.667	1.236	11.547	0.03	0.992	6000.0
132	2.231	12.519	1.148	10.857	0.032	0.993	7000.0
133	2.783	15.399	1.394	13.309	0.033	0.989	6000.0
134	2.099	11.77	1.001	9.324	0.04	0.996	6000.0
135	1.797	10.026	0.853	8.309	0.038	0.996	6000.0
136	2.81	15.814	1.55	15.078	0.066	0.986	6000.0
137	2.483	14.219	1.353	13.79	0.059	0.988	6000.0
138	1.735	9.782	1.041	9.552	0.039	0.994	6000.0
139	2.318	12.808	1.088	9.914	0.047	0.994	6000.0
140	1.608	9.07	0.879	8.167	0.035	0.995	6000.0
141	1.839	10.375	0.946	8.647	0.046	0.995	6000.0
142	1.27	7.37	0.774	7.576	0.009	0.996	6000.0
143	1.837	11.078	1.051	10.3	0.042	0.989	6000.0
144	1.591	8.784	0.804	7.138	0.033	0.997	6000.0
145	1.065	5.98	0.656	6.156	0.028	0.997	6000.0
146	1.645	9.496	0.939	8.646	0.025	0.996	6000.0
147	2.296	13.114	1.321	12.285	0.055	0.989	6000.0
148	2.515	14.155	1.291	11.719	0.056	0.991	6000.0
149	2.005	11.408	1.037	9.347	0.022	0.995	6000.0
150	2.361	13.306	1.159	10.545	0.041	0.992	6000.0
151	2.39	13.465	1.259	11.52	0.04	0.991	6000.0
152	1.761	10.034	0.922	8.541	0.036	0.994	6000.0
