NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
295	6.505	22.152	2.451	20.574	0.061	0.971	6000.0
296	7.06	24.223	3.185	24.27	0.081	0.968	6000.0
297	4.993	17.036	2.076	16.612	0.037	0.984	6000.0
298	5.394	18.498	2.334	17.591	0.041	0.978	6000.0
299	6.421	21.98	2.782	22.418	0.051	0.971	6000.0
300	6.263	21.49	2.793	22.134	0.066	0.964	6000.0
301	6.721	23.046	2.97	22.578	0.073	0.966	6000.0
302	6.556	22.425	2.898	22.119	0.059	0.967	6000.0
303	6.55	22.465	2.977	23.086	0.053	0.967	6000.0
304	6.052	20.895	2.651	22.066	0.067	0.963	6000.0
305	6.568	22.553	2.791	22.115	0.046	0.971	6000.0
306	4.484	15.387	1.935	15.857	0.038	0.985	6000.0
307	7.289	25.087	3.102	25.561	0.083	0.956	6000.0
308	5.804	19.845	2.372	18.624	0.052	0.981	6000.0
309	6.295	21.562	2.78	21.641	0.058	0.971	6000.0
310	5.351	18.186	2.209	17.579	0.038	0.98	6000.0
311	5.859	19.999	2.53	20.593	0.044	0.975	9000.0
312	5.528	18.938	2.507	20.499	0.038	0.973	6000.0
313	5.45	18.633	2.526	19.986	0.056	0.973	6000.0
314	4.801	16.552	2.056	16.453	0.045	0.982	6000.0
315	6.818	23.301	2.953	24.082	0.064	0.962	6000.0
316	6.651	22.803	2.777	22.6	0.052	0.972	6000.0
317	5.991	20.572	2.569	20.75	0.05	0.975	6000.0
318	6.045	20.641	2.622	21.543	0.059	0.971	6000.0
319	6.843	23.3	2.838	22.517	0.061	0.969	6000.0
320	5.104	17.566	2.203	17.51	0.049	0.978	6000.0
321	5.739	19.651	2.259	19.152	0.049	0.976	6000.0
322	5.987	20.411	2.691	19.624	0.049	0.977	6000.0
323	4.909	16.85	2.056	16.356	0.043	0.983	8000.0
324	3.588	12.4	1.398	11.565	0.026	0.99	7000.0
325	7.736	26.455	3.303	27.554	0.071	0.951	6000.0
326	5.667	19.55	2.414	19.523	0.059	0.978	6000.0
327	5.477	18.911	2.233	17.504	0.057	0.978	6000.0
328	5.99	20.511	2.366	18.696	0.062	0.978	6000.0
329	6.018	20.688	2.616	20.141	0.064	0.971	6000.0
330	5.94	20.384	2.588	20.023	0.048	0.974	6000.0
331	6.65	22.858	2.818	22.458	0.057	0.97	6000.0
332	4.924	16.81	2.095	16.084	0.045	0.983	6000.0
333	5.96	20.32	2.508	20.147	0.043	0.975	6000.0
334	6.93	23.66	2.793	22.868	0.059	0.967	7000.0
335	4.101	14.023	1.774	14.238	0.028	0.985	6000.0
336	6.205	21.366	2.452	20.658	0.082	0.969	6000.0
337	5.593	19.288	2.415	18.388	0.045	0.978	6000.0
338	4.873	16.65	2.262	17.607	0.045	0.98	6000.0
339	7.692	26.451	3.294	26.001	0.079	0.956	6000.0
340	5.742	19.585	2.457	19.686	0.046	0.977	6000.0
341	5.761	19.771	2.413	19.47	0.048	0.973	6000.0
342	6.546	22.406	2.647	21.833	0.051	0.971	6000.0
343	5.757	19.802	2.59	21.199	0.05	0.969	6000.0
344	6.369	21.815	2.799	23.082	0.043	0.965	7000.0
345	7.528	25.841	3.088	24.313	0.078	0.964	6000.0
346	6.823	23.406	2.933	23.906	0.058	0.962	6000.0
347	6.696	22.952	2.994	22.047	0.058	0.97	9000.0
348	6.159	21.027	2.76	20.547	0.049	0.974	6000.0
349	6.315	21.663	2.738	22.419	0.049	0.966	6000.0
350	6.547	22.513	2.804	23.606	0.066	0.963	6000.0
351	4.711	16.092	1.947	15.876	0.036	0.982	6000.0
352	5.739	19.694	2.53	19.51	0.053	0.974	6000.0
353	6.047	20.718	2.578	21.25	0.046	0.971	6000.0
354	5.626	19.247	2.435	19.446	0.04	0.979	6000.0
355	5.467	18.767	2.352	18.445	0.061	0.98	6000.0
356	6.767	23.301	2.898	22.926	0.056	0.966	6000.0
357	5.322	18.197	2.109	17.6	0.04	0.978	6000.0
358	5.103	17.45	2.194	17.63	0.04	0.98	6000.0
359	5.276	17.933	2.245	17.385	0.047	0.974	6000.0
360	6.091	20.929	2.59	20.815	0.056	0.972	9000.0
361	7.802	26.747	3.459	27.941	0.069	0.953	6000.0
362	5.56	19.136	2.515	20.425	0.045	0.975	6000.0
363	6.364	21.839	2.754	21.664	0.058	0.97	6000.0
364	5.839	19.866	2.791	22.022	0.074	0.959	6000.0
365	4.614	15.806	1.976	16.181	0.035	0.983	6000.0
366	4.505	15.439	1.919	15.519	0.027	0.984	6000.0
367	5.599	19.302	2.219	18.632	0.046	0.977	7000.0
368	6.034	20.675	2.391	19.963	0.055	0.972	6000.0
369	5.723	19.586	2.311	18.706	0.049	0.976	6000.0
370	6.241	21.441	2.683	21.991	0.053	0.968	6000.0
371	6.129	20.916	2.715	21.353	0.044	0.976	6000.0
372	6.054	20.843	2.568	20.278	0.063	0.977	6000.0
373	5.674	19.322	2.391	18.372	0.045	0.977	6000.0
374	6.083	20.849	2.738	21.64	0.055	0.974	7000.0
375	4.524	15.465	1.96	15.147	0.033	0.983	6000.0
376	6.264	21.541	2.636	21.794	0.057	0.969	6000.0
377	6.448	22.259	2.657	21.471	0.068	0.966	6000.0
378	6.509	22.159	2.853	21.583	0.054	0.973	6000.0
379	5.218	17.838	2.053	16.114	0.047	0.984	6000.0
380	5.485	18.847	2.293	18.775	0.042	0.976	6000.0
381	6.27	21.325	2.779	21.876	0.062	0.967	6000.0
382	5.959	20.374	2.625	21.812	0.049	0.968	6000.0
383	6.249	21.562	2.568	21.384	0.062	0.966	6000.0
384	5.578	19.09	2.403	18.766	0.049	0.978	6000.0
385	5.062	17.33	2.071	16.669	0.042	0.983	6000.0
386	6.868	23.543	2.97	23.775	0.062	0.965	6000.0
387	4.46	15.317	1.881	15.636	0.043	0.985	6000.0
388	5.445	18.698	2.358	19.44	0.039	0.978	6000.0
389	6.483	22.095	2.921	24.049	0.059	0.962	6000.0
390	5.083	17.33	2.162	17.849	0.047	0.975	6000.0
391	6.336	21.831	2.651	21.593	0.062	0.968	6000.0
392	6.3	21.558	2.63	19.97	0.061	0.975	6000.0
393	5.543	18.875	2.352	19.113	0.045	0.975	6000.0
394	5.3	18.214	2.211	17.092	0.054	0.982	6000.0
395	5.01	17.173	2.089	16.25	0.036	0.986	6000.0
396	4.378	14.952	1.98	15.512	0.043	0.986	6000.0
397	5.768	19.767	2.312	18.724	0.046	0.98	6000.0
398	5.706	19.546	2.506	19.475	0.051	0.975	6000.0
399	6.09	20.978	2.6	20.619	0.069	0.971	6000.0
400	6.617	22.704	2.914	23.752	0.049	0.966	6000.0
401	6.227	21.212	2.656	20.938	0.063	0.967	6000.0
402	5.106	17.544	2.072	17.066	0.057	0.981	6000.0
403	4.505	15.358	1.946	15.213	0.037	0.984	6000.0
404	6.354	21.628	2.673	20.725	0.059	0.975	6000.0
405	7.102	24.223	3.275	25.208	0.069	0.961	6000.0
406	6.723	23.027	2.842	22.981	0.06	0.965	6000.0
407	5.653	19.424	2.371	19.409	0.055	0.976	6000.0
408	5.421	18.548	2.367	19.639	0.042	0.973	6000.0
409	5.528	19.101	2.268	18.214	0.054	0.978	6000.0
410	4.834	16.606	1.891	15.214	0.036	0.984	6000.0
411	6.332	21.726	2.67	21.43	0.051	0.972	6000.0
412	6.625	22.724	2.824	22.742	0.058	0.97	6000.0
413	5.216	17.788	2.081	17.087	0.039	0.981	6000.0
414	4.458	15.189	1.926	15.722	0.039	0.983	6000.0
415	5.244	17.977	2.213	17.804	0.03	0.982	6000.0
416	7.103	24.282	2.906	23.685	0.058	0.962	6000.0
417	5.327	18.256	2.267	18.131	0.048	0.978	6000.0
418	6.889	23.494	2.924	23.203	0.066	0.964	6000.0
419	5.13	17.597	2.226	17.903	0.038	0.976	6000.0
420	5.688	19.446	2.421	19.583	0.048	0.973	6000.0
